id,nome,linha,modal,lat,lon
41,Republica,L3-VERMELHA,METRO,-23.5435,-46.6420
42,Anhangabau,L3-VERMELHA,METRO,-23.5470,-46.6370
43,Se,L3-VERMELHA,METRO,-23.5503,-46.6339
44,Pedro II,L3-VERMELHA,METRO,-23.5495,-46.6250
45,Bras,L3-VERMELHA,METRO,-23.5470,-46.6155
46,Bresser-Mooca,L3-VERMELHA,METRO,-23.5490,-46.6045
47,Belem,L3-VERMELHA,METRO,-23.5320,-46.5905
48,Tatuape,L3-VERMELHA,METRO,-23.5405,-46.5760
49,Carrao,L3-VERMELHA,METRO,-23.5405,-46.5560
50,Penha,L3-VERMELHA,METRO,-23.5330,-46.5430
51,Vila Matilde,L3-VERMELHA,METRO,-23.5340,-46.5310
52,Guilhermina-Esperanca,L3-VERMELHA,METRO,-23.5320,-46.5210
53,Patriarca,L3-VERMELHA,METRO,-23.5390,-46.5090
54,Artur Alvim,L3-VERMELHA,METRO,-23.5405,-46.4960
55,Corinthians-Itaquera,L3-VERMELHA,METRO,-23.5430,-46.4720
56,Vila Sonia,L4-AMARELA,METRO,-23.5985,-46.7330
57,Sao Paulo-Morumbi,L4-AMARELA,METRO,-23.5905,-46.7250
58,Butanta,L4-AMARELA,METRO,-23.5715,-46.7080
59,Pinheiros,L4-AMARELA,METRO,-23.5670,-46.7020
60,Faria Lima,L4-AMARELA,METRO,-23.5670,-46.6935
61,Fradique Coutinho,L4-AMARELA,METRO,-23.5660,-46.6870
62,Oscar Freire,L4-AMARELA,METRO,-23.5610,-46.6720
63,Paulista,L4-AMARELA,METRO,-23.5555,-46.6620
64,Higienopolis-Mackenzie,L4-AMARELA,METRO,-23.5470,-46.6520
65,Republica,L4-AMARELA,METRO,-23.5435,-46.6420
66,Luz,L4-AMARELA,METRO,-23.5346,-46.6350
67,Capao Redondo,L5-LILAS,METRO,-23.6690,-46.7660
68,Campo Limpo,L5-LILAS,METRO,-23.6470,-46.7580
69,Vila das Belezas,L5-LILAS,METRO,-23.6390,-46.7480
70,Giovanni Gronchi,L5-LILAS,METRO,-23.6260,-46.7350
71,Santo Amaro,L5-LILAS,METRO,-23.6547,-46.7040
72,Largo Treze,L5-LILAS,METRO,-23.6480,-46.7010
73,Adolfo Pinheiro,L5-LILAS,METRO,-23.6490,-46.6960
74,Alto da Boa Vista,L5-LILAS,METRO,-23.6410,-46.6820
75,Borba Gato,L5-LILAS,METRO,-23.6350,-46.6790
76,Brooklin,L5-LILAS,METRO,-23.6210,-46.6870
77,Campo Belo,L5-LILAS,METRO,-23.6180,-46.6710
78,Eucaliptos,L5-LILAS,METRO,-23.6100,-46.6650
79,Moema,L5-LILAS,METRO,-23.6010,-46.6640
80,AACD-Servidor,L5-LILAS,METRO,-23.5970,-46.6510
81,Hospital Sao Paulo,L5-LILAS,METRO,-23.5980,-46.6440
82,Santa Cruz,L5-LILAS,METRO,-23.5990,-46.6390
83,Chacara Klabin,L5-LILAS,METRO,-23.5900,-46.6270
84,Vila Prudente,L15-PRATA,METRO,-23.5822,-46.5812
85,Oratorio,L15-PRATA,METRO,-23.5870,-46.5680
86,Sao Lucas,L15-PRATA,METRO,-23.5910,-46.5560
87,Camilo Haddad,L15-PRATA,METRO,-23.5940,-46.5470
88,Vila Tolstoi,L15-PRATA,METRO,-23.5985,-46.5390
89,Vila Uniao,L15-PRATA,METRO,-23.6010,-46.5300
90,Jardim Planalto,L15-PRATA,METRO,-23.6050,-46.5210
91,Sapopemba,L15-PRATA,METRO,-23.6100,-46.5140
92,Fazenda da Juta,L15-PRATA,METRO,-23.6180,-46.5050
93,Sao Mateus,L15-PRATA,METRO,-23.6180,-46.4750
94,Osasco,L9-ESMERALDA,TREM,-23.5290,-46.7920
95,Presidente Altino,L9-ESMERALDA,TREM,-23.5340,-46.7760
96,Ceasa,L9-ESMERALDA,TREM,-23.5430,-46.7530
97,Villa-Lobos-Jaguare,L9-ESMERALDA,TREM,-23.5470,-46.7360
98,Cidade Universitaria,L9-ESMERALDA,TREM,-23.5590,-46.7280
99,Hebraica-Reboucas,L9-ESMERALDA,TREM,-23.5650,-46.7000
100,Pinheiros,L9-ESMERALDA,TREM,-23.5670,-46.7020
101,Cidade Jardim,L9-ESMERALDA,TREM,-23.5830,-46.6960
102,Vila Olimpia,L9-ESMERALDA,TREM,-23.5950,-46.6870
103,Berrini,L9-ESMERALDA,TREM,-23.6090,-46.6960
104,Morumbi,L9-ESMERALDA,TREM,-23.6230,-46.7020
105,Granja Julieta,L9-ESMERALDA,TREM,-23.6360,-46.6980
106,Santo Amaro,L9-ESMERALDA,TREM,-23.6547,-46.7040
107,Socorro,L9-ESMERALDA,TREM,-23.6700,-46.7040
108,Jurubatuba,L9-ESMERALDA,TREM,-23.6870,-46.7130
109,Autodromo,L9-ESMERALDA,TREM,-23.7010,-46.7180
110,Primavera-Interlagos,L9-ESMERALDA,TREM,-23.7130,-46.7160
111,Grajau,L9-ESMERALDA,TREM,-23.7460,-46.7020
112,Luz,L7-RUBI,TREM,-23.5346,-46.6350
113,Barra Funda,L7-RUBI,TREM,-23.5270,-46.6660
114,Agua Branca,L7-RUBI,TREM,-23.5205,-46.6740
115,Lapa,L7-RUBI,TREM,-23.5185,-46.7010
116,Piqueri,L7-RUBI,TREM,-23.5090,-46.7160
117,Pirituba,L7-RUBI,TREM,-23.4880,-46.7255
118,Vila Clarice,L7-RUBI,TREM,-23.4790,-46.7360
119,Jaragua,L7-RUBI,TREM,-23.4560,-46.7480
120,Perus,L7-RUBI,TREM,-23.4090,-46.7530
121,Luz,L11-CORAL,TREM,-23.5346,-46.6350
122,Bras,L11-CORAL,TREM,-23.5470,-46.6155
123,Tatuape,L11-CORAL,TREM,-23.5405,-46.5760
124,Corinthians-Itaquera,L11-CORAL,TREM,-23.5430,-46.4720
125,Dom Bosco,L11-CORAL,TREM,-23.5390,-46.4560
126,Jose Bonifacio,L11-CORAL,TREM,-23.5430,-46.4430
127,Guaianases,L11-CORAL,TREM,-23.5410,-46.4130
